Damping,Preference,Num Clusters,Silhouette Score,Calinski-Harabasz Score,Davies-Bouldin Score
0.5,,836,0.3406756161619379,12.191272648196657,311542.6195556573
0.5,median,921,0.3431383674993399,10.778416455488438,163327.35800277453
0.5,mean,928,0.33762176949401346,10.79088882179604,167739.06395741962
0.6,,814,0.36956738143032675,12.550479046527782,139218.29965645602
0.6,median,838,0.3631985484869075,11.933682278992203,173134.68840604482
0.6,mean,839,0.3660835253066892,12.326998228205431,172928.26736223602
0.7,,765,0.3830540546817927,13.610737260624772,252028.751044936
0.7,median,763,0.3837858335702309,13.441629111558047,1.4509531043478112
0.7,mean,767,0.3859441101313774,13.75585364091896,1.388514309497481
0.8,,640,0.4070715456030788,16.647043264834696,1.2970716051718088
0.8,median,639,0.4097713646047294,16.46847828820787,1.354335330222
0.8,mean,645,0.4133693887804253,16.87600518962433,1.2936239662257782
0.9,,547,0.2646117881322388,12.396821460358057,1.5030840395691636
0.9,median,547,0.2626225229785348,12.199703651007338,1.4998274839663621
0.9,mean,552,0.2718682958246098,12.579155751129761,1.4897738992485174
